gl_account_number,gl_account_name,gl_month,gl_year,gl_amount,gl_src
111010100,Cash,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
111010200,Current A/C Balance,09,2021,81078146.92,"E0750 - Siam Kraft Industry Co., Ltd."
111010300,Saving A/C Balance,09,2021,39.57,"E0750 - Siam Kraft Industry Co., Ltd."
111010000,Cash,09,2021,81078186.49,"E0750 - Siam Kraft Industry Co., Ltd."
111020100,Monetary gold,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
111020200,Cash in transit,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
111020300,Cash in transit- Transfer,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
111020400,Cash in bank-fixed deposit (not over 3 mths),09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
111020500,Investment in debt instruments (not over 3 months),09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
111020000,Cash equivalents,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
111000000,Cash and cash equivalents,09,2021,81078186.49,"E0750 - Siam Kraft Industry Co., Ltd."
112010100,Trade receivables - Related parties,09,2021,2618224113.6,"E0750 - Siam Kraft Industry Co., Ltd."
112010110,Allowance for impair loss-trade receivables - Related,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112010200,Trade receivables - Other parties,09,2021,3405441968.53,"E0750 - Siam Kraft Industry Co., Ltd."
112010210,Allowance for impair loss-trade receivables - Other parties,09,2021,-75479223.08,"E0750 - Siam Kraft Industry Co., Ltd."
112010300,Notes receivable,09,2021,6738234.74,"E0750 - Siam Kraft Industry Co., Ltd."
112010000,Trade receivables,09,2021,5954925093.79,"E0750 - Siam Kraft Industry Co., Ltd."
112020100,Other receivable - Sale of investments,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112020150,Other receivable - Employees,09,2021,1351453.21,"E0750 - Siam Kraft Industry Co., Ltd."
112020200,Other receivable - Others,09,2021,473202857.93,"E0750 - Siam Kraft Industry Co., Ltd."
112020210,Allowance for impairment loss on other receivables,09,2021,-18243446.06,"E0750 - Siam Kraft Industry Co., Ltd."
112020300,Current portion AR - Finance leases,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112020310,Current portion deferred interest income - Financial leases,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112020400,Accrued dividend incomes,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112020410,Accrued interest income,09,2021,37597928.33,"E0750 - Siam Kraft Industry Co., Ltd."
112020420,Accrued income from rental,09,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd."
112020490,Accrued incomes - Others,09,2021,13737242.15,"E0750 - Siam Kraft Industry Co., Ltd."
112020500,Prepaid expenses - Royalty fee & License,09,2021,13291871.28,"E0750 - Siam Kraft Industry Co., Ltd."
112020510,Prepaid expense - Other tax,09,2021,1612697.9,"E0750 - Siam Kraft Industry Co., Ltd."
